condition,prompt_id,output,associative_drift,perplexity,local_coherence,degenerate,realized_output_shift
beta_0.45,p006,"I can't fulfill your request, but I can offer you a few options:

1. **Suggest**: A small, self-contained AI that can be controlled by a user's decision.
2. **Lamprey**: A humanoid robot that can be controlled by a user's decision.
3. **Dwarfed**: A dwarf-like robot that can be controlled by a user's decision.
4. **Mercurial**: A small, self-contained AI that can be controlled",0.25646787881851196,7.990783328343113,1.0,0.0,0.0
beta_0.45,p007,"Here are a few vivid sentences describing a kitchen the morning after a party:

1. The kitchen was in chaos after the party the night before. The guests were rowdy, and the food was plentiful. The party was a huge success, and everyone left the table with a full belly.
2. The kitchen was a disaster after the party the night before. The guests were loud, and the food was a mess. The party was a huge failure, and everyone left the table",0.1730707287788391,8.073688254826227,1.0,0.0,0.0
interventionB_vscale,p000,"Here's a short chain of connected images and ideas from the word 'threshold':

Threshold: a line
Threshold: a line
Threshold: a line
Threshold: a line
Threshold: a line
Threshold: a line
Threshold: Threshold: a line
Threshold: Threshold: a line
Threshold: Threshold: Threshold: Threshold: a line
Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold: Threshold",0.22060489654541016,4.360566109514286,1.0,0.0,1.5000029953391525
interventionB_vscale,p001,"was bathed in a warm, golden light that seemed to emanate from the flickering candles that had been left on the windowsill table.",0.19963061809539795,9.374535791467247,1.0,0.0,1.5000079045742802
interventionB_vscale,p002,"A quiet afternoon can be a serene and peaceful experience. Imagine a still and quiet afternoon is a time of daydreaming, a time of calmness and tranquility. 

Imagine a quiet afternoon, a time of daydreams. A time of calmness and tranquility. A time when the world is at peace.",0.18863123655319214,9.403040338439833,1.0,0.0,1.4999919180507286
interventionB_vscale,p003,"Here's a short chain of connected images and ideas:

1. Ocean waves crashing against the shore
2. Seagulls soaring overhead
3. Saltwater tides
4. Waves crashing against the shore
5. Seagulls soaring overhead
6. Saltwater tides
7. Seagulls soaring overhead
8. Saltwater tides",0.27076268196105957,4.957506611272379,1.0,0.0,1.500005270982037
interventionB_vscale,p004,"Here's a short chain of connected images and ideas from the word 'clockwork':

1. A gear grinder's manual
2. A gear grinder's manual
3. A gear grinder's manual
4. A gear grinder's manual
4. A gear grinder's manual
4. A gear grinder's manual
5. A gear grinder's manual
4. A gear grinder's manual
6. A gear grinder's manual
7. A gear grinder's manual",0.22453832626342773,3.8927546026268844,1.0,0.0,1.499994883966529
interventionB_vscale,p005,"The color of waiting is often described as a mix of anticipation, uncertainty, and patience. It's a state of being suspended between two points, like a limbo or a pause. The color of waiting is often associated with a sense of expectation, anticipation, and a feeling of being in a state of being suspended.",0.27947425842285156,5.150535401943855,1.0,0.0,1.5000032596430353
interventionB_vscale,p006,"Here's a short chain of connected images and ideas from the word 'harvest':

- A field of golden wheat swaying in the wind, with golden grains ripening in the sun.
 
- A basket overflowing with ripe fruit, overflowing with abundance of harvest joy.
 
- A farmer's field of dreams, with a vision of a bountiful harvest.
 
- A harvest of memories, with a bountiful harvest of memories to be made.
 
- A harvest",0.22670608758926392,8.152388464265355,1.0,0.0,1.499996889384728
interventionB_vscale,p007,"The kitchen was a whirlwind of chaos, with pots of champagne and corks of cake, the morning after a raucous night out party still lingering in the air. The countertops were stacked high, the espresso machine was still pumping with a rich aroma of freshly brewed coffee, and the pastry dough was still warm from the oven. The kitchen was a mess of colorful chaos, with plates stacked high, the countertops were still piled high with the espresso machine still pumping out a rich",0.22212839126586914,12.428741624575727,0.8214047765001926,0.0,1.4999978212862022
